Table Name,State Code,District Code,Area Name,Total/ Rural/Urban,Present Age,Total Women,Total Ever Married Women,Total Ever Married Women - Parity - 0,Total Ever Married Women - Parity - 1,Total Ever Married Women - Parity - 2,Total Ever Married Women - Parity - 3,Total Ever Married Women - Parity - 4,Total Ever Married Women - Parity - 5,Total Ever Married Women - Parity - 6,Total Ever Married Women - Parity - 7+,Total Children Ever Born - Persons,Total Children Ever Born - Male,Total Children Ever Born - Female
F01ST33,33,603,District - Chennai,Urban,20-24,489,310,144,79,65,18,4,0,0,0,279,165,114
F01ST33,33,603,District - Chennai,Urban,25-29,518,447,119,111,164,46,4,2,1,0,609,328,281
F01ST33,33,603,District - Chennai,Urban,30-34,473,447,82,78,224,54,6,1,1,1,730,405,325
F01ST33,33,603,District - Chennai,Urban,35-39,432,423,78,70,179,72,16,6,0,2,754,421,333
F01ST33,33,603,District - Chennai,Urban,40-44,307,303,45,51,111,69,17,7,2,1,602,337,265
F01ST33,33,603,District - Chennai,Urban,45-49,322,316,54,51,94,74,26,13,2,2,656,364,292
F01ST33,33,603,District - Chennai,Urban,50-54,231,226,38,40,65,48,22,9,3,1,472,243,229
F01ST33,33,603,District - Chennai,Urban,55-59,192,188,33,25,34,41,27,13,8,7,487,276,211
F01ST33,33,603,District - Chennai,Urban,60-64,152,146,29,16,29,22,20,15,10,5,394,216,178
F01ST33,33,603,District - Chennai,Urban,65-69,69,69,6,13,10,11,9,7,4,9,225,127,98
F01ST33,33,603,District - Chennai,Urban,70-74,78,75,20,8,11,11,6,10,4,5,205,121,84
F01ST33,33,603,District - Chennai,Urban,75-79,45,45,12,4,10,6,5,3,2,3,119,67,52
F01ST33,33,603,District - Chennai,Urban,80+,45,44,10,5,8,6,3,4,5,3,125,70,55
F01ST33,33,604,District - Kancheepuram,Total,All Ages,20605,12177,2195,1804,3304,2351,1276,633,305,309,28000,14627,13373
F01ST33,33,604,District - Kancheepuram,Total,Less than 15,6598,67,48,6,13,0,0,0,0,0,32,14,18
F01ST33,33,604,District - Kancheepuram,Total,15-19,1793,480,315,114,34,9,8,0,0,0,241,121,120
F01ST33,33,604,District - Kancheepuram,Total,20-24,2050,1672,516,484,494,130,36,5,0,7,2083,1051,1032
F01ST33,33,604,District - Kancheepuram,Total,25-29,2056,1954,269,294,793,398,133,46,10,11,3988,2086,1902
F01ST33,33,604,District - Kancheepuram,Total,30-34,1550,1515,161,148,526,424,154,57,30,15,3678,1881,1797
F01ST33,33,604,District - Kancheepuram,Total,35-39,1619,1609,159,165,423,420,236,116,52,38,4398,2265,2133
F01ST33,33,604,District - Kancheepuram,Total,40-44,1196,1185,125,133,293,282,178,76,54,44,3319,1782,1537
F01ST33,33,604,District - Kancheepuram,Total,45-49,1112,1108,113,128,252,260,159,105,42,49,3213,1684,1529
F01ST33,33,604,District - Kancheepuram,Total,50-54,815,806,139,102,178,147,119,65,28,28,2093,1117,976
F01ST33,33,604,District - Kancheepuram,Total,55-59,562,557,99,70,99,103,83,51,24,28,1531,831,700
F01ST33,33,604,District - Kancheepuram,Total,60-64,515,511,111,66,85,88,61,51,21,28,1345,687,658
F01ST33,33,604,District - Kancheepuram,Total,65-69,301,298,52,42,41,36,52,24,23,28,919,483,436
F01ST33,33,604,District - Kancheepuram,Total,70-74,215,211,41,22,42,31,34,18,10,13,596,317,279
F01ST33,33,604,District - Kancheepuram,Total,75-79,83,82,19,13,10,12,12,9,4,3,208,114,94
F01ST33,33,604,District - Kancheepuram,Total,80+,111,106,21,16,17,9,11,8,7,17,331,179,152
F01ST33,33,604,District - Kancheepuram,Rural,All Ages,13571,7894,1412,1133,2022,1558,865,451,231,222,18707,9772,8935
F01ST33,33,604,District - Kancheepuram,Rural,Less than 15,4580,43,33,3,7,0,0,0,0,0,17,9,8
F01ST33,33,604,District - Kancheepuram,Rural,15-19,1158,329,215,83,23,5,3,0,0,0,156,80,76
F01ST33,33,604,District - Kancheepuram,Rural,20-24,1314,1114,348,319,322,92,26,2,0,5,1390,717,673
F01ST33,33,604,District - Kancheepuram,Rural,25-29,1286,1240,157,167,502,275,91,32,7,9,2638,1392,1246
F01ST33,33,604,District - Kancheepuram,Rural,30-34,984,969,102,86,295,290,107,50,26,13,2489,1253,1236
F01ST33,33,604,District - Kancheepuram,Rural,35-39,1073,1065,105,103,245,284,162,92,41,33,3048,1581,1467
F01ST33,33,604,District - Kancheepuram,Rural,40-44,797,791,86,84,180,179,128,58,44,32,2294,1232,1062
F01ST33,33,604,District - Kancheepuram,Rural,45-49,733,730,81,90,155,150,110,75,33,36,2150,1117,1033
F01ST33,33,604,District - Kancheepuram,Rural,50-54,506,499,84,59,112,87,75,39,22,21,1343,701,642
F01ST33,33,604,District - Kancheepuram,Rural,55-59,337,334,54,41,54,66,53,33,16,17,959,510,449
F01ST33,33,604,District - Kancheepuram,Rural,60-64,337,333,65,42,53,67,41,34,11,20,909,453,456
